survey_id,site,date,avg_depth_m,time_24hr,transect_m,visibility_m,weather,current,local_boats,researcher,site_code,area_m2,area_ha,family,fish_count,fish_density_ha,trophic_group,taxon_family,genus,species_epithet,sci_name,site_type,cots_mean_ha,cots_max_ha,cots_15_mean,cots_15_max,HC,TUR,MAC,algal_cover,benthic_state,n_substrate_transects,cots_mean_ha_sc,HC_sc,MAC_sc,TUR_sc
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Emma,AL,1000,0.1,Butterflyfish,19,190,Grazer,Chaetodontidae,Chaetodon,spp.,Chaetodon spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Emma,AL,1000,0.1,Parrotfish,5,50,Grazer,Labridae: Scarinae,Scarus,spp.,Scarus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Emma,AL,1000,0.1,Rabbitfish,24,240,Grazer,Siganidae,Siganus,spp.,Siganus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Niamh,AL,1000,0.1,Butterflyfish,14,140,Grazer,Chaetodontidae,Chaetodon,spp.,Chaetodon spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Niamh,AL,1000,0.1,Parrotfish,4,40,Grazer,Labridae: Scarinae,Scarus,spp.,Scarus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Niamh,AL,1000,0.1,Rabbitfish,21,210,Grazer,Siganidae,Siganus,spp.,Siganus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Tessa,AL,1000,0.1,Butterflyfish,14,140,Grazer,Chaetodontidae,Chaetodon,spp.,Chaetodon spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Tessa,AL,1000,0.1,Parrotfish,9,90,Grazer,Labridae: Scarinae,Scarus,spp.,Scarus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2504,Aow Leuk,2025-04-16,8.2,13:00,100,11,3,None,NA,Tessa,AL,1000,0.1,Rabbitfish,29,290,Grazer,Siganidae,Siganus,spp.,Siganus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2506,Aow Leuk,2025-06-02,8,13:00,100,10,2,None,6,Emma,AL,1000,0.1,Butterflyfish,31,310,Grazer,Chaetodontidae,Chaetodon,spp.,Chaetodon spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
AL2506,Aow Leuk,2025-06-02,8,13:00,100,10,2,None,6,Emma,AL,1000,0.1,Parrotfish,27,270,Grazer,Labridae: Scarinae,Scarus,spp.,Scarus spp.,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,-0.6424202940076064,-1.0050796305339347,-0.9629537316089548,0.7643105685214274
